"bns_sections_subsections","subject","ipc_sections","summary_of_comparison"
"245","Fraudulently suffering decree for sum not due.","208","No change."
"246","Dishonestly making false claim in Court.","209","“'Court of Justice” is replaced by 'Court'."
"247","Fraudulently obtaining decree for sum not due.","210","IPC section is reorganized in form of clauses (a), (b) in BNS."
"248","False charge of offence made with intent to injure.","211","The upper limit of imprisonment is increased from two years to five years, from seven years to ten years,, the fine is defined as up to two lakh rupees."
"249","Harbouring offender.","212","Section is reorganized in form of clauses (a), (b), (c), sub-headings are dropped. 'husband or wife' is replaced by 'spouse'."
"250","Taking gift, etc., to screen an offender from punishment.","213","Formal change but essence is same. Section is reorganized in form of clauses (a), (b), (c), sub-headings are dropped."
"251","Offering gift or restoration of property in consideration of screening offender.","214","No change."
"252","Taking gift to help to recover stolen property, etc.","215","No change."
"253","Harbouring offender who has escaped from custody or whose apprehension has been ordered.","216","Section is reorganized in form of clauses (a), (b), (c), sub-headings are dropped. “husband or wife” is replaced by “spouse”."
"254","Penalty for harbouring robbers or dacoits.","216A","Formal changes but essence is same- “husband or wife” is replaced by “spouse”."
"255","Public servant disobeying direction of law with intent to save person from punishment or property from forfeiture.","217","No change."
"256","Public servant framing incorrect record or writing with intent to save person from punishment or property from forfeiture.","218","No change."
"257","Public servant in judicial proceeding corruptly making report, etc. contrary to law.","219","No change."
"258","Commitment for trial or confinement by person having authority who knows that he is acting contrary to law.","220","No change."
"259","Intentional omission to apprehend on part of public servant bound to apprehend.","221","Section is reorganized in form of clauses (a), (b), (c)."
"260","Intentional omission to apprehend on part of public servant bound to apprehend person under sentence or lawfully committed.","222","No change."
"261","Escape from confinement or custody negligently suffered by public servant.","223","No change."
"262","Resistance or obstruction by a person to his lawful apprehension.","224","No change."
"263","Resistance or obstruction to lawful apprehension of another person.","225","Section is reorganized in form of clauses (a), (b), (c)."
"264","Omission to apprehend, or sufferance of escape, on part of public servant, in cases not otherwise provided for.","225A","No change."
"265","Resistance or obstruction to lawful apprehension or escape or rescue in cases not otherwise provided for.","225B","No change."
"266","Violation of condition of remission of punishment.","227","No change."
"267","Intentional insult or interruption to public servant sitting in judicial proceeding.","228","Upper limit of fine is increased from one thousand to five thousand rupees."
"268","Personation of assessor.","229","In heading “Personation of assessor” is used in place of “juror or assessor”, word ""juryman"" is excluded."
"269","Failure by person released on bail or bond to appear in Court.","229A","No change."
"270","Public nuisance.","268","Two paragraphs were merged together with the help of the coordinating conjunction “but”."
"271","Negligent act likely to spread infection of disease dangerous to life.","269","No change."
"272","Malignant act likely to spread infection of disease dangerous to life.","270","No change."
"273","Disobedience to quarantine rule.","271","Word ""vessel"" is replaced by the phrase “mode of transport etc.”"
"274","Adulteration of food or drink intended for sale.","272","Upper limit of fine is increased from one thousand to five thousand rupees."
"275","Sale of noxious food or drink.","273","Upper limit of fine is increased from one thousand to five thousand rupees."
"276","Adulteration of drugs.","274","Upper limit of imprisonment is increased from six months to one years, fine is increased from one thousand to five thousand rupees."
"277","Sale of adulterated drugs.","275","Upper limit of fine is increased from one thousand to five thousand rupees."
"278","Sale of drug as a different drug or preparation.","276","The upper limit of fine is increased from one thousand to five thousand rupees."
"279","Fouling water of public spring or reservoir.","277","The upper limit of the imprisonment is increased from three months to six months, fine is increased from five hundred to five thousand rupees."
"280","Making atmosphere noxious to health.","278","The upper limit of the fine is increased from five hundred to one thousand rupees."
"281","Rash driving or riding on a public way.","279","No change."
"282","Rash navigation of vessel.","280","The upper limit of the fine has been increased from one thousand to ten thousand rupees."
"283","Exhibition of false light, mark or buoy.","281","Fine is added as punishment in addition to imprisonment rupees ten thousand is fixed as lower limit of fine. Word “and” has replaced “or”."
"284","Conveying person by water for hire in unsafe or overloaded vessel.","282","The upper limit of the fine is increased from one thousand to five thousand rupees."
"285","Danger or obstruction in public way or line of navigation.","283","The upper limit of the fine is increased from two hundred to five thousand rupees."
"286","Negligent conduct with respect to poisonous substance.","284","The upper limit of the fine is increased from one thousand to five thousand rupees."
"287","Negligent conduct with respect to fire or combustible matter.","285","The upper limit of the fine is increased from one thousand to two thousand rupees."
"288","Negligent conduct with respect to explosive substance.","286","The upper limit of the fine is increased from one thousand to five thousand rupees."
"289","Negligent conduct with respect to machinery.","287","Upper limit of the fine is increased from one thousand to five thousand rupees."
"290","Negligent conduct with respect to pulling down, repairing or constructing buildings, etc.","288","BNS added ""or constructing”. The upper limit of the fine is increased from one thousand to five thousand rupees. “measures” replaces “order”."
"291","Negligent conduct with respect to animal.","289","Word “measure” replaces “order” The upper limit of the fine is increased from one thousand to five thousand rupees."
"292","Punishment for public nuisance in cases not otherwise provided for.","290","The upper limit of the fine is increased from two hundred to one thousand rupees."
"293","Continuance of nuisance after injunction to discontinue.","291","Fine is defined as up to five thousand rupees."
"294","Sale, etc., of obscene books, etc.","292","The fine is increased from two thousand to five thousand rupees, from five thousand to ten thousand rupees on subsequent conviction. “including display of any content in electronic form'” is added. “in whatever manner” is also added."
"295","Sale, etc., of obscene objects to young person.","293","“person under the age of twenty years” is replaced by “child”, thereby curtailing the scope of this provision."
"296","Obscene acts, songs.","294","Fine is defined as up to one thousand rupees."
"297","Keeping lottery office.","294A","The upper limit of the fine is increased from one thousand to five thousand rupees."
"298","Injuring or defiling place of worship with intent to insult the religion of any class.","295","No change."
"299","Deliberate, malicious acts intended to outrage religious feelings of any class, by insulting its religion or religious beliefs.","295A","Words “or through electronic means” are added."
"300","Disturbing religious assembly.","296","No change."
"301","Trespassing on burial places, etc.","297","No change."
"302","Uttering words, etc., with deliberate intent to wound the religious feelings of any person.","298","No change."
"303 (1)","Theft.","378","IPC section is included as sub section. “Definition” is replaced by “Section” in explanation 5."
"303 (2)","Punishment for theft.","379","Punishment for subsequent convictions is added."
"304","Snatching.","-","New addition."
"305","Theft in a dwelling house, or means of transportation or place of worship, etc.","380","The definition enlarged ""means of transportation or place of worship,' is added in the heading is reframed containing various sub-sections wherein sub-sections (b), (c), (d), (e) are new additions."
"306","Theft by clerk or servant of property in possession of master.","381","No change."
"307","Theft after preparation made for causing death, hurt or restraint in order to committing of theft.","382","No change."
"308 (1)","Extortion.","383","Clause (e) is newly added in the illustrations."
"308 (2)","Extortion punishment.","384","IPC section is included as a sub-section in BNS sans heading. The upper limit of the imprisonment is increased from three years to seven years."
"308 (3)","Putting person in fear of injury in order to commit extortion.","385","IPC section is included as a sub-section in BNS sans heading. No other change."
"308 (4)","Putting person in fear of death or of grievous hurt, in order to commit extortion.","387","No change."
"308 (5)","Extortion by putting a person in fear of death or grievous hurt.","386","No change."
"308 (6)","Extortion by threat of accusation of an offence punishable with death or imprisonment for life, etc.","388","IPC section is included as a sub-section in BNS sans heading. Words “and, if the offence by punishable under section 377 of this Code, may be punished with imprisonment for life” are removed as the section 377 IPC has been excluded altogether."
"308 (7)","Putting person in fear or accusation of offence, in order to commit extortion.","389","No change."
"309 (1), (2), (3)","Robbery- When theft is robbery When extortion is robbery.","390","Formal changes reorganized in form of clauses (1), (2),, (3), sub-heading is dropped."
"309 (4)","Robbery- Punishment for robbery.","392","IPC Section is included as sub-section in BNS sans heading. No other change."
"309 (5)","Robbery- Attempt to commit robbery.","393","No change."
"309 (6)","Robbery- Voluntarily causing hurt in committing robbery.","394","No change."
"310 (1)","Dacoity definition.","391","No change."
"310 (2)","Dacoity punishment .","395","No change."
"310 (3)","Dacoity with murder.","396","IPC section is included as sub-section in BNS sans heading. Minimum mandatory punishment of imprisonment is ""shall not be less than ten years""."
"310 (4)","Making preparation to commit dacoity.","399","IPC section is included as sub-section in BNS sans heading. No other change."
"310 (5)","Assembling for purpose of committing dacoity.","402","The IPC section is included as sub-section in BNS, sans heading. Words “at any time after the passing of this Act, shall” is removed."
"310 (6)","Punishment for belonging to gang of dacoits.","400","No change."
"311","Robbery or dacoity, with attempt to cause death or grievous hurt.","397","No change."
"312","Attempt to commit robbery or dacoity when armed with deadly weapon.","398","No change."
"313","Punishment for belonging to gang of robbers, etc.","401","The word 'thieves' is replaced by “robbers” in the heading. The words “at any time after the passing of this Act, shall” “at wandering or other”and “for the purpose of” are excluded."
"314","Dishonest misappropriation of property.","403","Minimum mandatory imprisonment of six months, with fine added."
"315","Dishonest misappropriation of property possessed by deceased person at the time of his death.","404","No change."
"316 (1)","Criminal breach of trust.","405","Definition presented in BNS as a sub-section."
"316 (2)","Punishment for criminal breach of trust.","406","IPC Section is included as sub-section in BNS sans heading. The upper limit of the imprisonment is increased from three years to five years."
"316 (3)","Criminal breach of trust by carrier, etc.","407","Section is included as sub-section in BNS sans heading."
"316 (4)","Criminal breach of trust by clerk or servant.","408","No change."
"316 (5)","Criminal breach of trust by public servant, or by banker, merchant or agent.","409","No change."
"317 (1)","Stolen property.","410","Word “cheating” is added."
"317 (2)","Dishonestly receiving stolen property.","411","IPC Section is included as sub-section in BNS sans heading."
"317 (3)","Dishonestly receiving property stolen in the commission of a dacoity.","412","No change."
"317 (4)","Habitually dealing in stolen property.","413","No change."
"317 (5)","Assisting in concealment of stolen property.","414","No change."
"318 (1)","Cheating.","415","IPC section defining cheating is presented in BNS as a sub-section."
"318 (2)","Cheating punishment.","417","The IPC section is included as a sub-section in the BNS sans heading. The upper limit of imprisonment is increased from one year to three years."
"318 (3)","Cheating with knowledge that wrongful loss may ensue to person whose interest offender is bound to protect.","418","IPC section is included as a sub-section in BNS sans heading. The upper limit of imprisonment is increased from three years to five years."
"318 (4)","Cheating, dishonestly inducing delivery of property.","420","IPC section is included as a sub-section in BNS sans heading."
"319 (1)","Cheating by personation.","416","Formal change. This is a definition section which is presented as a sub-section in BNS without any change."
"319 (2)","Cheating by personation punishment.","419","IPC section is included as a sub-section in BNS sans heading. Upper limit of imprisonment is increased from three years to five years."
"320","Dishonest or fraudulent removal or concealment of property to prevent distribution among creditors.","421","Minimum mandatory punishment for imprisonment of six months has been introduced."
"321","Dishonestly or fraudulently preventing debt being available for creditors.","422","No change."
"322","Dishonest or fraudulent execution of deed of transfer containing false statement of consideration.","423","Upper limit of imprisonment is increased from two years to three years."
"323","Dishonest or fraudulent removal or concealment of property.","424","No change."
"324 (1)","Mischief.","425","No change."
"324 (2)","Mischief punishment.","426","The upper limit of imprisonment is increased from three months to six months."
"324 (3)","Mischief - causes loss or damage to any property including the property of Government or Local Authority.","New","This is a new addition."
"324 (4)","Mischief causing damage to the amount of twenty thousand rupees, more but less than one lakh rupees.","427","Newly added"
"324 (5)","Mischief- cause loss or damage to amount of one lakh rupees onwards.","New","Value of damaged property amount threshold increased from fifty rupees to one lakh rupees. Punishment increased from two years to five years."
"324 (6)","Mischief committed after preparation made for causing death or hurt.","440","No change."
"325","Mischief by killing or maiming animal.","428/ 429","The upper limit of imprisonment is increased from two years to five years. Scope is expanded greatly by amending it to “any animal”."
"326 (a)","Mischief by injury, inundation, fire or explosive substance, etc.","430","IPC section is included as a sub-section sans heading."
"326 (b)","Mischief by injury to public road, bridge, river or channel.","431","Words “whoever commits mischief” is excluded. Section is included as a sub-section sans heading."
"326 (c)","Mischief by causing inundation or obstruction to public drainage attended with damage.","432","IPC section is included as a sub-section sans heading."
"326 (d)","Mischief by injury, inundation, fire or explosive substance, etc.","433","words “light house or other light used as sea marks or any sea mark or buoy” are replaced by “any sign or signal used for navigation of rail, aircraft, or ship,” thus the scope is widened immensely."
"326 (e)","Mischief by destroying or moving, etc., a land-mark fixed by public authority.","434","IPC section is included as a sub-section sans heading."
"326 (f)","Mischief by injury, inundation, fire or explosive substance, etc.","435","Words ""including agricultural produce"" added."
"326 (g)","Mischief by fire or explosive substance with intent to destroy house, etc.","436","IPC section is included as a sub-section sans heading."
"327 (1)","Mischief with intent to destroy or make unsafe a rail, aircraft, decked vessel or one of twenty tons burden.","437","Formal changes, but essence is same-“rail, aircraft"" are added in the heading."
"327 (2)","Punishment for above offence.","438","IPC section is included as a sub-section sans heading."
"328","Punishment for intentionally running vessel aground or ashore with intent to commit theft, etc.","439","No change."
"329 (1)","Criminal trespass, house- trespass.","441","IPC section is included as a sub-section."
"329 (2)","Criminal trespass, house- trespass.","442","No change."
"329 (3)","Criminal trespass punishment.","447","The IPC section is included as a sub-section in the BNS sans heading. The fine increased from five hundred rupees to five thousand rupees."
"329 (4)","Punishment for house- trespass.","448","The IPC section is included as a sub-section in the BNS sans heading. The upper limit of the fine has been increased from one thousand to five thousand rupees."
"330 (1)","Lurking house trespass.","443","IPC section is included as a sub-section."
"330 (2)","House breaking.","445","The IPC section is included as a sub-section in the BNS sans heading. Words “any of such six ways” are replaced with “in any of the following ways”."
"331 (1)","Punishment for house- trespass or house-breaking.","453","IPC section is included as a sub-section. “Lurking” is dropped from heading."
"331 (2)","Punishment for lurking house-trespass or house-breaking by night.","456","IPC section is included as a sub-section in BNS sans heading. “by night' is replaced by after “sunset, before sunrise”."
"331 (3)","Lurking house-trespass or house-breaking in order to commit offence punishable with imprisonment.","454","IPC section is included as a sub-section in BNS sans heading."
"331 (4)","Lurking house-trespass or house-breaking by night in order to commit offence punishable with imprisonment.","457","The words “by night” are replaced by “after sunset, before sunrise”."
"331 (5)","Lurking house-trespass or house-breaking after preparation for hurt, assault or wrongful restraint.","455","Section is included as a sub-section in BNS sans heading."
"331 (6)","Lurking house-trespass or house-breaking by night after preparation for hurt, assault, or wrongful restraint.","458","IPC section is included as a sub-section in BNS sans heading. “by night” is replaced by “after sunset, before sunrise”."
"331 (7)","Grievous hurt caused whilst committing lurking house-trespass or house-breaking.","459","IPC section is included as a sub-section in BNS sans heading."
"331 (8)","All persons jointly concerned in lurking house-trespass or house-breaking by night punishable where death or grievous hurt caused by one of them.","460","IPC section is included as a sub-section in BNS sans heading. “by night” is replaced by “after sunset, before sunrise”."
"332 (a)","House-trespass in order to commit offence punishable with death.","449","IPC section is included as a sub-section in BNS."
"332 (b)","House-trespass in order to commit offence punishable with imprisonment for life.","450","IPC section is included as a sub-section sans heading."
"332 (c)","House-trespass in order to commit offence punishable with imprisonment.","451","IPC section is included as a sub-section sans heading."
"333","House-trespass after preparation for hurt, assault or wrongful restraint.","452","No change."
"334 (1)","Dishonestly breaking open receptacle containing property.","461","IPC section is included as a sub-section in BNS."
"334 (2)","Punishment for same offence when committed by person entrusted with custody.","462","IPC section is included as a sub-section in BNS sans heading."
"335","Making a false document.","464","Heading changed, first, secondly, thirdly replaced with (A), (B), (C)."
"336 (1)","Forgery.","463","Section is included as a sub-section in BNS. No other change."
"336 (2)","Forgery punishment.","465","Section is included as a sub-section in BNS sans heading. No other Change."
"336 (3)","Forgery for purpose of cheating.","468","No change."
"336 (4)","Forgery for purpose of harming reputation.","469","No change."
"337","Forgery of record of Court or of public register, etc.","466","“Court or an identity document issued by the government, including a voter identity card or Aadhaar card,” is added,, “baptism” is excluded."
"338","Forgery of valuable security, will, etc.","467","No change."
"339","Having possession of document described in Section 337 or Section 338, knowing it to be forged, intending to use it as genuine.","474","No change."
"340 (1)","Forged document or electronic record., using it as genuine.","470","IPC section is included as a sub-section in BNS. “using it as genuine” is added in the heading."
"340 (2)","Using as genuine a forged document or electronic record.","471","IPC section is included as a sub-section in BNS sans heading."
"341 (1)","Making or possessing counterfeit seal, etc., with intent to commit forgery, punishable under section 338.","472","IPC section is included as a sub-section in BNS."
"341 (2)","Making or possessing counterfeit seal, etc., with intent to commit forgery punishable otherwise.","473","IPC section is included as a sub-section in BNS sans heading."
"341 (3)","Possesses any seal, plate or other instrument knowing the same to be counterfeit.","New sub-section","“Whoever possesses any seal, plate or other instrument knowing the same to be counterfeit, shall be punished with imprisonment of either description for a term which may extend to three years,, shall also be liable to fine”."
"341 (4)","Fraudulently or dishonestly uses as genuine any seal, plate or other instrument knowing or having reason to believe the same to be counterfeit.","New sub-section","“Whoever fraudulently or dishonestly uses as genuine any seal, plate or other instrument knowing or having reason to believe the same to be counterfeit, shall be punished in the same manner as if he had made or counterfeited such seal, plate or other instrument”."
"342 (1)","Counterfeiting device or mark used for authenticating documents described in section 338, or possessing counterfeit marked material.","475","IPC section is included as a sub-section in BNS."
"342 (2)","Counterfeiting device or mark used for authenticating documents described in section 338, or possessing counterfeit marked material.","476","IPC section is included as a sub-section in BNS sans heading."
"343","Fraudulent cancellation, destruction, etc. of will, authority to adopt, or valuable security.","477","No change."
"344","Falsification of accounts.","477A","No change."
"345 (1)","Property mark.","479","IPC section is included as a sub-section in BNS."
"345 (2)","Using a false property mark.","481","IPC section is included as a sub-section in BNS sans heading."
"345 (3)","Punishment for using a false property mark.","482","No change."
"346","Tampering with property mark with intent to cause injury.","489","No change."
"347 (1)","Counterfeiting a property mark.","483","IPC section is included as a sub-section in BNS."
"347 (2)","Counterfeiting a mark used by a public servant.","484","IPC Section is included as a sub-section in BNS sans heading."
"348","Making or possession of any instrument for counterfeiting a property mark.","485","No change."
"349","Selling goods marked with counterfeit property mark.","486","No change."
"350 (1)","Making a false mark upon any receptacle containing goods.","487","IPC section is included as a sub-section in BNS."
"350 (2)","Punishment for making use of any such false mark.","488","IPC section is included as a sub-section in BNS sans heading."
"351 (1)","Criminal intimidation.","503","IPC section is included as a sub-section in BNS. “by any means” is added."
"351 (2)/ (3)","Criminal intimidation punishment.","506","IPC Section is included as a sub-section in BNS sans heading."
"351 (4)","Criminal intimidation by an anonymous communication.","507","No change."
"352","Intentional insult with intent to provoke breach of the peace.","504","Words “in any manner” are added."
"353","Statements conducing to public mischief.","505",""" false information”, “including through electronic means” are added."
"354","Act caused by inducing person to believe that he will be rendered an object of the Divine displeasure.","508","No change."
"355","Misconduct in public by a drunken person.","510","Fine is increased from ten rupees to one thousand, or with community service is added."
"356 (1)","Defamation.","499","IPC Section is included as a sub section."
"356 (2)","Defamation punishment.","500","IPC section is included as a sub-section in BNS sans heading. “or with community service” is added as an alternate punishment."
"356 (3)","Printing or engraving matter known to be defamatory.","501","IPC Section is included as a sub-section in BNS sans heading."
"356 (4)","Sale of printed or engraved substance containing defamatory matter.","502","No change."
"357","Breach of contract to attend on, supply wants of helpless person.","491","Fine increased from two hundred rupees to five thousand rupees."
"358","Repeal, Savings.","-","This section is a new addition. The Indian Penal Code, 1860, was enacted by the British Colonisers de novo; therefore, the Repeal, Savings Section was not required at all. Vide sub-section(1), subsequent Government of India notifications, the IPC will be repealed on 1st July 2024. However, sub-sections (2) to (4) stipulate savings related to the repealed code."
